"",3Hz,6Hz,13Hz,21Hz,66Hz,150Hz
0.0,1,0,0,0,0,0
2.6709401709401925,1,0,0,0,0,0
5.341880341880385,0,1,0,0,0,0
8.012820512820577,0,1,0,0,0,0
10.68376068376077,0,0,1,0,0,0
13.354700854700964,0,0,1,0,0,0
16.025641025641153,0,0,1,0,0,0
18.69658119658135,0,0,0,1,0,0
21.36752136752154,0,0,0,1,0,0
24.038461538461732,0,0,0,1,0,0
26.709401709401927,0,0,0,1,0,0
29.380341880342122,0,0,0,0,0,0
32.05128205128231,0,0,0,0,0,0
34.722222222222506,0,0,0,0,0,0
37.3931623931627,0,0,0,0,0,0
40.06410256410289,0,0,0,0,0,0
42.73504273504308,0,0,0,0,0,0
45.40598290598327,0,0,0,0,1,0
48.076923076923464,0,0,0,0,1,0
50.74786324786366,0,0,0,0,1,0
53.418803418803854,0,0,0,0,1,0
56.089743589744046,0,0,0,0,1,0
58.760683760684245,0,0,0,0,1,0
61.43162393162443,0,0,0,0,1,0
64.10256410256461,0,0,0,0,1,0
66.77350427350481,0,0,0,0,1,0
69.44444444444501,0,0,0,0,1,0
72.1153846153852,0,0,0,0,1,0
74.7863247863254,0,0,0,0,1,0
77.4572649572656,0,0,0,0,1,0
80.12820512820578,0,0,0,0,1,0
82.79914529914596,0,0,0,0,1,0
85.47008547008616,0,0,0,0,1,0
88.14102564102636,0,0,0,0,1,0
90.81196581196654,0,0,0,0,0,0
93.48290598290674,0,0,0,0,0,0
96.15384615384693,0,0,0,0,0,0
98.82478632478713,0,0,0,0,0,0
101.49572649572733,0,0,0,0,0,0
104.16666666666751,0,0,0,0,0,0
106.83760683760771,0,0,0,0,0,0
109.50854700854791,0,0,0,0,0,0
112.17948717948809,0,0,0,0,0,0
114.85042735042829,0,0,0,0,0,0
117.52136752136849,0,0,0,0,0,0
120.19230769230867,0,0,0,0,0,0
122.86324786324886,0,0,0,0,0,0
125.53418803418904,0,0,0,0,0,0
128.20512820512923,0,0,0,0,0,0
130.87606837606944,0,0,0,0,0,0
133.54700854700963,0,0,0,0,0,0
136.2179487179498,0,0,0,0,0,0
138.88888888889002,0,0,0,0,0,0
141.5598290598302,0,0,0,0,0,0
144.2307692307704,0,0,0,0,0,0
146.9017094017106,0,0,0,0,0,1
149.5726495726508,0,0,0,0,0,1
152.24358974359097,0,0,0,0,0,1
154.9145299145312,0,0,0,0,0,0
157.58547008547137,0,0,0,0,0,0
160.25641025641156,0,0,0,0,0,0
162.92735042735177,0,0,0,0,0,0
165.59829059829192,0,0,0,0,0,0
168.26923076923214,0,0,0,0,0,0
170.94017094017232,0,0,0,0,0,0
173.6111111111125,0,0,0,0,0,0
176.28205128205272,0,0,0,0,1,0
178.9529914529929,0,0,0,0,1,0
181.6239316239331,0,0,0,0,1,0
184.2948717948733,0,0,0,0,1,0
186.9658119658135,0,0,0,0,1,0
189.63675213675367,0,0,0,0,1,0
192.30769230769386,0,0,0,0,1,0
194.97863247863407,0,0,0,0,1,0
197.64957264957425,0,0,0,0,1,0
200.32051282051444,0,0,0,0,1,0
202.99145299145465,0,0,0,0,1,0
205.66239316239484,0,0,0,0,1,0
208.33333333333502,0,0,0,0,1,0
211.00427350427523,0,0,0,0,1,0
213.67521367521542,0,0,0,0,0,0
216.3461538461556,0,0,0,0,0,0
219.01709401709581,0,0,0,0,0,0
221.688034188036,0,0,0,0,0,0
224.35897435897618,0,0,0,0,0,0
227.0299145299164,0,0,0,0,0,0
229.70085470085658,0,0,0,0,0,0
232.37179487179677,0,0,0,0,0,0
235.04273504273698,0,0,0,0,0,0
237.71367521367716,0,0,0,0,0,0
240.38461538461735,0,0,0,0,0,0
243.05555555555756,0,0,0,0,0,0
245.72649572649772,0,0,0,0,0,0
248.3974358974379,0,0,0,0,0,0
251.0683760683781,0,0,0,0,0,0
253.7393162393183,0,0,0,0,0,0
256.41025641025846,0,0,0,0,0,0
259.0811965811987,0,0,0,0,0,0
261.7521367521389,0,0,0,0,0,0
264.42307692307907,0,0,0,0,0,0
267.09401709401925,0,0,0,0,0,0
269.76495726495943,0,0,0,0,0,0
272.4358974358996,0,0,0,0,0,0
275.10683760683986,0,0,0,0,0,0
277.77777777778005,0,0,0,0,0,0
280.44871794872023,0,0,0,0,0,0
283.1196581196604,0,0,0,0,0,0
285.7905982906006,0,0,0,0,0,0
288.4615384615408,0,0,0,0,0,0
291.132478632481,0,0,0,0,0,0
293.8034188034212,0,0,0,0,0,0
296.4743589743614,0,0,0,0,0,0
299.1452991453016,0,0,0,0,1,0
301.81623931624176,0,0,0,0,1,0
304.48717948718195,0,0,0,0,1,0
307.15811965812213,0,0,0,0,1,0
309.8290598290624,0,0,0,0,1,0
312.50000000000256,0,0,0,0,1,0
315.17094017094274,0,0,0,0,1,0
317.8418803418829,0,0,0,0,1,0
320.5128205128231,0,0,0,0,1,0
323.1837606837633,0,0,0,0,1,0
325.85470085470354,0,0,0,0,0,0
328.5256410256437,0,0,0,0,0,0
331.19658119658385,0,0,0,0,0,0
333.8675213675241,0,0,0,0,0,0
336.5384615384643,0,0,0,0,0,0
339.20940170940446,0,0,0,0,0,0
341.88034188034464,0,0,0,0,0,0
344.5512820512849,0,0,0,0,0,0
347.222222222225,0,0,0,0,0,0
349.89316239316526,0,0,0,0,0,0
352.56410256410544,0,0,0,0,0,0
355.2350427350456,0,0,0,0,0,0
357.9059829059858,0,0,0,0,0,0
360.57692307692605,0,0,0,0,0,0
363.2478632478662,0,0,0,0,0,0
365.9188034188064,0,0,0,0,0,0
368.5897435897466,0,0,0,0,0,0
371.2606837606868,0,0,0,0,0,0
373.931623931627,0,0,0,0,0,0
376.6025641025672,0,0,0,0,0,0
379.27350427350734,0,0,0,0,0,0
381.9444444444476,0,0,0,0,0,0
384.6153846153877,0,0,0,0,0,0
387.28632478632795,0,0,0,0,0,0
389.95726495726814,0,0,0,0,0,0
392.62820512820826,0,0,0,0,0,0
395.2991452991485,0,0,0,0,0,0
397.9700854700887,0,0,0,0,0,0
400.6410256410289,0,0,0,0,0,0
403.31196581196906,0,0,0,0,0,0
405.9829059829093,0,0,0,0,0,0
408.65384615384943,0,0,0,0,0,0
411.32478632478967,0,0,0,0,1,0
