Circuit Family,Circuit Name,timestamp_fgc,fpa_identifier,year,month,day,timestamp_fgc_available,U_diode_data_available,VoltageNQPS.*U_DIODE,U_diode_data_useable
RB,RB.A12,1.26003782644e+18,RB_RB.A12_1260037826440000000,2009,12,5,1,0,0,0
RB,RB.A12,1.265288815e+18,RB_RB.A12_1265288815000000000,2010,2,4,1,0,0,0
RB,RB.A23,1.26565655246e+18,RB_RB.A23_1265656552460000000,2010,2,8,1,0,0,0
RB,RB.A23,1.2659733993e+18,RB_RB.A23_1265973399300000000,2010,2,12,1,0,0,0
RB,RB.A12,1.26606509292e+18,RB_RB.A12_1266065092920000000,2010,2,13,1,0,0,0
RB,RB.A78,1.26608622172e+18,RB_RB.A78_1266086221720000000,2010,2,13,1,0,0,0
RB,RB.A78,1.266091704e+18,RB_RB.A78_1266091704000000000,2010,2,13,1,0,0,0
RB,RB.A34,1.26642896976e+18,RB_RB.A34_1266428969760000000,2010,2,17,1,0,0,0
RB,RB.A34,1.26645027468e+18,RB_RB.A34_1266450274680000000,2010,2,18,1,0,0,0
RB,RB.A67,1.41417326958e+18,RB_RB.A67_1414173269580000000,2014,10,24,1,1,0,0
RB,RB.A67,1.41459527938e+18,RB_RB.A67_1414595279380000000,2014,10,29,1,0,0,0
RB,RB.A67,1.41460527028e+18,RB_RB.A67_1414605270280000000,2014,10,29,1,1,0,0
RB,RB.A67,1.41477592844e+18,RB_RB.A67_1414775928440000000,2014,10,31,1,1,1,1
RB,RB.A67,1.41744008374e+18,RB_RB.A67_1417440083740000000,2014,12,1,1,0,0,0
RB,RB.A67,1.41746923414e+18,RB_RB.A67_1417469234140000000,2014,12,1,1,0,0,0
RB,RB.A67,1.41758988202e+18,RB_RB.A67_1417589882020000000,2014,12,3,1,0,0,0
RB,RB.A67,1.41763611616e+18,RB_RB.A67_1417636116160000000,2014,12,3,1,0,0,0
RB,RB.A67,1.41767746056e+18,RB_RB.A67_1417677460560000000,2014,12,4,1,0,0,0
RB,RB.A67,1.41771783954e+18,RB_RB.A67_1417717839540000000,2014,12,4,1,0,0,0
RB,RB.A67,1.4177639615e+18,RB_RB.A67_1417763961500000000,2014,12,5,1,0,0,0
RB,RB.A67,1.41779040796e+18,RB_RB.A67_1417790407960000000,2014,12,5,1,0,0,0
RB,RB.A67,1.41781136676e+18,RB_RB.A67_1417811366760000000,2014,12,5,1,0,0,0
RB,RB.A67,1.41785748056e+18,RB_RB.A67_1417857480560000000,2014,12,6,1,0,0,0
RB,RB.A67,1.41787900184e+18,RB_RB.A67_1417879001840000000,2014,12,6,1,0,0,0
RB,RB.A67,1.41793441418e+18,RB_RB.A67_1417934414180000000,2014,12,7,1,0,0,0
