"ID","Accelerator","System","Simple edit","Start Time","End Time","OP Duration","OP Duration (seconds)","Effective Duration","Effective Duration (seconds)","Current state","States","Faulty Elements","Description","Cardiogram Link and Display Label","AWG","Expert","R2E Status","Parent ID","Parent","Child Count"
776781,"LHC","Injector Complex » No Beam » PS","","27-11-2022 18:55:00","27-11-2022 18:56:00","01min 00s",60,"01min 00s",60,"OP Ended","Non-Blocking OP|OP Ended","","","","Reviewed","Requires review","Not R2E related","","",0
776614,"LHC","Injector Complex » No Beam » SPS","","27-11-2022 18:00:03","27-11-2022 20:51:00","02h 50min 57s",10257,"02h 50min 57s",10257,"OP Ended","Blocking OP|OP Ended","","No beam from SPS due to water leak in BA6","","Reviewed","Requires review","Not R2E related","","",0
776606,"LHC","Beam Losses","","27-11-2022 17:20:00","27-11-2022 17:20:01","01s",1,"01s",1,"OP Ended","Blocking OP|OP Ended","","Dump due to BLMQI.05R7.B2I10_MQWA.D5R7

The underlying problem may be some low level settings issues not visible from the CCC as losses have increased since the quench test on 23/11. Also noted that loss thresholds change abruptly (increase) just before flat-top. Will be reviewed during YETS.","","Reviewed","Requires review","Not R2E related","","",0
776646,"LHC","Power Converters","","27-11-2022 14:38:00","27-11-2022 14:38:01","01s",1,"01s",1,"OP Ended","Blocking OP|OP Ended","","Problem on RQ8.R8B2","","Reviewed","Requires review","Not R2E related","","",0
776654,"LHC","Magnet circuits » Other","","27-11-2022 08:54:00","27-11-2022 11:30:00","02h 36min 00s",9360,"02h 53min 00s",10380,"OP Ended","Blocking OP|OP Ended","","TE-MPE piquet was called to organize the access in point 5 and fix the chimney heater problem","","Reviewed","Requires review","Not R2E related","","",1
776916,"LHC","Cryogenics » Users » Other","","27-11-2022 08:54:00","27-11-2022 11:47:00","02h 53min 00s",10380,"02h 53min 00s",10380,"OP Ended","Blocking OP|OP Ended","","Cryo conditions lost due to DFB heater problem","","Reviewed","Reviewed","Not R2E related",776654,"Magnet circuits » Other",0
777256,"LHC","Injector Complex » No Beam » LINAC3","","27-11-2022 02:48:00","27-11-2022 03:48:00","01h 00min 00s",3600,"01h 00min 00s",3600,"OP Ended","Non-Blocking OP|OP Ended","","Unstable - Source tuning Needed","","Requires review","Requires review","Not R2E related","","",0
776036,"LHC","Injector Complex » No Beam » PS","","27-11-2022 01:28:25","27-11-2022 04:24:07","02h 55min 42s",10542,"02h 55min 42s",10542,"OP Ended","Non-Blocking OP|OP Ended","","IONs production with high intensity fluctuations","","Reviewed","Requires review","Not R2E related","","",0
777187,"LHC","Injector Complex » No Beam » LINAC3","","26-11-2022 23:30:00","27-11-2022 00:30:00","01h 00min 00s",3600,"01h 00min 00s",3600,"OP Ended","Non-Blocking OP|OP Ended","","Unstable - Tuning needed","","Requires review","Requires review","Not R2E related","","",0
775523,"LHC","Injector Complex » No Beam » PS","","26-11-2022 20:04:45","26-11-2022 20:52:41","47min 56s",2876,"47min 56s",2876,"OP Ended","Non-Blocking OP|OP Ended","","Cooling problem on F16.BHZ167","","Reviewed","Reviewed","Not R2E related","","",0
