,Unnamed: 0,fpa_identifier,Circuit,VoltageNQPS.*U_DIODE,I_Q_M,dt_I_Q_M,dI_dt_from_data,Delta_t(iQPS-PIC),Delta_t(EE_odd-PIC),Delta_t(EE_even-PIC),U_EE_max_ODD,U_EE_max_EVEN,timestamp_fgc,date
0,0,RB_RB.A12_1632928721860000000,RB.A12,0,2015.5956,0.02,9.951696832579144,,100.0,596.0,139.6020205,140.7871159736,1632928721860000000,2021-09-29 17:18:41.860000+02:00
1,1,RB_RB.A12_1647278471500000000,RB.A12,1,11000.01,-40.92,-0.0074389140274384,,98.0,594.0,761.3086477292462,767.1392124969,1647278471500000000,2022-03-14 18:21:11.500000+01:00
2,2,RB_RB.A12_1647501927640000000,RB.A12,1,8000.0054,-21.94,-0.0055683257918998,,100.0,596.0,556.3624839984,559.7408279926001,1647501927640000000,2022-03-17 08:25:27.640000+01:00
3,3,RB_RB.A12_1647535074160000000,RB.A12,1,5039.671,0.02,9.947738009049798,,98.0,597.0,359.1980319992,360.3953424842,1647535074160000000,2022-03-17 17:37:54.160000+01:00
4,4,RB_RB.A12_1647622982900000000,RB.A12,1,5000.006,-56.46,-0.0021199095022128,,100.0,595.0,351.15127549960005,352.5963674808,1647622982900000000,2022-03-18 18:03:02.900000+01:00
5,5,RB_RB.A12_1647881029880000000,RB.A12,1,11025.09,-0.02,9.96113122171923,,99.0,595.0,763.258022491,768.8539749985999,1647881029880000000,2022-03-21 17:43:49.880000+01:00
6,6,RB_RB.A12_1648117970100000000,RB.A12,1,8038.842,0.02,9.940908144796287,,98.0,594.0,559.0476139973999,562.4308099918,1648117970100000000,2022-03-24 11:32:50.100000+01:00
7,7,RB_RB.A12_1648128154020000000,RB.A12,0,2000.0096,-101.88,-0.0003606334841814,,97.0,596.0,141.0763845,142.0283744758,1648128154020000000,2022-03-24 14:22:34.020000+01:00
8,8,RB_RB.A23_1633620586940000000,RB.A23,0,2018.4172,0.02,9.961755656108563,,97.0,602.0,142.99377999979998,140.7016809982,1633620586940000000,2021-10-07 17:29:46.940000+02:00
9,9,RB_RB.A23_1647013695980000000,RB.A23,1,8000.0063,-7.38,-0.0010022624433961,,99.0,605.0,569.9905869999999,561.8188726964825,1647013695980000000,2022-03-11 16:48:15.980000+01:00
10,10,RB_RB.A23_1649754581500000000,RB.A23,1,11600.007,-47.36,-0.0038552036200776,,101.0,604.0,824.915201495,813.0055624766,1649754581500000000,2022-04-12 11:09:41.500000+02:00
11,11,RB_RB.A23_1650440881980000000,RB.A23,1,11111.424,0.04,9.984542986425252,,97.0,603.0,787.5825774948,774.9564749756,1650440881980000000,2022-04-20 09:48:01.980000+02:00
12,12,RB_RB.A23_1650462208720000000,RB.A23,1,5033.2324,0.02,9.945522624434194,,101.0,604.0,363.58756331638193,360.7749379792,1650462208720000000,2022-04-20 15:43:28.720000+02:00
13,13,RB_RB.A23_1652447846480000000,RB.A23,-1,2000.006,-40.48,-0.0010714932126702,,100.0,604.0,141.541385,139.58126198960002,1652447846480000000,2022-05-13 15:17:26.480000+02:00
