,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,Circuit,#Segment
0,B8L2_0,DCBB.8L2.R,DFLAS.7L2.5,MB.A8L2,4,3081.6104,3047.2854,B8L2,0,RB.A12,1
1,B8L2_1,DCBB.9L2.R,MB.A8L2,MB.A9L2,3,3047.2854,3008.2204,B8L2,1,RB.A12,2
2,B10L2_0,DCBB.10L2.R,MB.A9L2,MB.A10L2,3,3008.2204,2967.7554,B10L2,0,RB.A12,3
3,B10L2_1,DCBB.11L2.R,MB.A10L2,MB.A11L2,3,2967.7554,2928.6904,B10L2,1,RB.A12,4
4,B10L2_2,DCBB.A12L2.R,MB.A11L2,MB.A12L2,4,2928.6904,2876.8507,B10L2,2,RB.A12,5
5,B12L2_0,DCBB.B12L2.R,MB.A12L2,MB.C12L2,2,2876.8507,2845.5307,B12L2,0,RB.A12,6
6,B12L2_1,DCBB.13L2.R,MB.C12L2,MB.B13L2,3,2845.5307,2807.7407,B12L2,1,RB.A12,7
7,B12L2_2,DCBB.A14L2.R,MB.B13L2,MB.A14L2,3,2807.7407,2769.9507,B12L2,2,RB.A12,8
8,B14L2_0,DCBB.B14L2.R,MB.A14L2,MB.C14L2,2,2769.9507,2738.6307,B14L2,0,RB.A12,9
9,B14L2_1,DCBB.15L2.R,MB.C14L2,MB.B15L2,3,2738.6307,2700.8407,B14L2,1,RB.A12,10
10,B14L2_2,DCBB.A16L2.R,MB.B15L2,MB.A16L2,3,2700.8407,2663.0507,B14L2,2,RB.A12,11
11,B16L2_0,DCBB.B16L2.R,MB.A16L2,MB.C16L2,2,2663.0507,2631.7307,B16L2,0,RB.A12,12
12,B16L2_1,DCBB.17L2.R,MB.C16L2,MB.B17L2,3,2631.7307,2593.9407,B16L2,1,RB.A12,13
13,B16L2_2,DCBB.A18L2.R,MB.B17L2,MB.A18L2,3,2593.9407,2556.1507,B16L2,2,RB.A12,14
14,B18L2_0,DCBB.B18L2.R,MB.A18L2,MB.C18L2,2,2556.1507,2524.8307,B18L2,0,RB.A12,15
15,B18L2_1,DCBB.19L2.R,MB.C18L2,MB.B19L2,3,2524.8307,2487.0407,B18L2,1,RB.A12,16
16,B18L2_2,DCBB.A20L2.R,MB.B19L2,MB.A20L2,3,2487.0407,2449.2507,B18L2,2,RB.A12,17
17,B20L2_0,DCBB.B20L2.R,MB.A20L2,MB.C20L2,2,2449.2507,2417.9307,B20L2,0,RB.A12,18
18,B20L2_1,DCBB.21L2.R,MB.C20L2,MB.B21L2,3,2417.9307,2380.1407,B20L2,1,RB.A12,19
19,B20L2_2,DCBB.A22L2.R,MB.B21L2,MB.A22L2,3,2380.1407,2342.3507,B20L2,2,RB.A12,20
20,B22L2_0,DCBB.B22L2.R,MB.A22L2,MB.C22L2,2,2342.3507,2311.0307,B22L2,0,RB.A12,21
21,B22L2_1,DCBB.23L2.R,MB.C22L2,MB.B23L2,3,2311.0307,2273.2407,B22L2,1,RB.A12,22
22,B22L2_2,DCBB.A24L2.R,MB.B23L2,MB.A24L2,3,2273.2407,2235.4507,B22L2,2,RB.A12,23
23,B24L2_0,DCBB.B24L2.R,MB.A24L2,MB.C24L2,2,2235.4507,2204.1307,B24L2,0,RB.A12,24
