Category,Class,Part,Parent Asset,Subcontractor 1,Subcontractor 2,Subcontractor 3,Surf. Res. at 4.5K (bend),Surf. Res. at 4.5K (flat),Twist,Length,Magnectic Permeability,Radial Diameter Center,Radial Diameter End,Straightness,Subcont. 1 certificate no,Subcont. 2 certificate no,Coil,Vertical Diameter Center,Vertical Diameter End,Weld Conformity,Name
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000055,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15555,1.00268,"48,40","48,60",<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.93,38.82,OK,B31L3
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000056,Boehler,Heraeus,Prestara,2.99,2.79,<1?,15555,1.00268,48.46,48.41,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.89,38.70,OK,B20R4
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000059,Boehler,Heraeus,Prestara,2.99,2.79,<1?,15557,1.00268,48.45,48.33,<3 mm/tube,nr. 022504,WCH 01498076,4/1,39.06,39.07,OK,A19R2
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000060,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15554,1.00268,48.58,48.59,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.94,38.91,OK,C34R2
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000061,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15552,1.00268,48.36,48.38,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.97,38.92,OK,B8R2
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000062,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15552,1.00268,48.62,48.61,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.95,38.93,OK,C27L3
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000063,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15556,1.00268,48.39,48.59,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.88,38.92,OK,B19L3
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_014-AK000064,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15556,1.00268,48.35,48.58,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.92,38.94,OK,A34L3
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_011-AK000065,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15556,1.00268,48.56,48.59,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.97,38.91,OK,B25R6
HCVSSB_01_,VS01,HCVSSB_01_,HCVSSB_011-AK000066,Boehler,Heraeus,Prestara,2.99,2.79,< 1?,15555,1.00268,48.62,48.61,<3 mm/tube,nr. 022504,WCH 01498076,4/1,38.92,38.86,OK,B27R6
