Name,MagnetName,flag_COSIM,CoilSections,NumberOfMagnets,t_Start,t_PC,tQH,R1_Warm,V1_Warm,L1_Warm,R2_Warm,V2_Warm,L2_Warm,R3_Warm,V3_Warm,L3_Warm,R4_Warm,V4_Warm,L4_Warm,R5_Warm,L5_Warm,L_1,L_2,k_1_2,C_ground_1,C_ground_2,R_parallel,Is,U_VT,fTL,N1,N2,Quench,t_Q
-,-,-,-,-,s,s,s,Ohm,Volt,Henry,Ohm,Volt,Henry,Ohm,Volt,Henry,Ohm,Volt,Henry,Ohm,Henry,Henry,Henry,-,Farad,Farad,Ohm,A,V,-,V,V,-,-
RB.A12,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
RB.A23,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
RB.A34,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
RB.A45,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
RB.A56,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
RB.A67,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
RB.A78,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
RB.A81,MB_2COILS,1,"[[1],[2]]",154,0.00E+00,1.00E-01,1.02E-01,3.79E-04,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,6.95E-05,5.00E-02,1.00E-05,4.29E-04,5.00E-02,1.00E-05,5.40E-05,1.00E-05,4.90E-02,4.90E-02,0.00E+00,1.50E-07,1.50E-07,1.00E+02,1.00E-14,3.00E-02,2.53E-01,6.00E+00,1.20E+00,0.00E+00,9.00E-02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
