,Circuit Name,case,snapshot_date,fgc_datetime,Circuit Family,timestamp_fgc,fpa_identifier
0,RB.A12,2kA@10A/s,20210929-171841.860,2021-09-29 17:18:41.860000,RB,1632928721860000000,RB_RB.A12_1632928721860000000
1,RB.A23,2kA@10A/s,20211007-172946.940,2021-10-07 17:29:46.940000,RB,1633620586940000000,RB_RB.A23_1633620586940000000
2,RB.A34,2kA@10A/s,20210917-165956.200,2021-09-17 16:59:56.200000,RB,1631890796200000000,RB_RB.A34_1631890796200000000
3,RB.A45,2kA@10A/s,20210714-172843.720,2021-07-14 17:28:43.720000,RB,1626276523720000000,RB_RB.A45_1626276523720000000
4,RB.A56,2kA@10A/s,20210715-172329.660,2021-07-15 17:23:29.660000,RB,1626362609660000000,RB_RB.A56_1626362609660000000
5,RB.A67,2kA@10A/s,20210716-165040.520,2021-07-16 16:50:40.520000,RB,1626447040520000000,RB_RB.A67_1626447040520000000
6,RB.A78,2kA@10A/s,20220225-164757.500,2022-02-25 16:47:57.500000,RB,1645804077500000000,RB_RB.A78_1645804077500000000
7,RB.A81,2kA@10A/s,20210811-171210.020,2021-08-11 17:12:10.020000,RB,1628694730020000000,RB_RB.A81_1628694730020000000
8,RB.A12,2kA flat top,20220324-142234.020,2022-03-24 14:22:34.020000,RB,1648128154020000000,RB_RB.A12_1648128154020000000
9,RB.A23,2kA flat top,20220513-151726.480,2022-05-13 15:17:26.480000,RB,1652447846480000000,RB_RB.A23_1652447846480000000
10,RB.A34,2kA flat top,20220321-173018.160,2022-03-21 17:30:18.160000,RB,1647880218160000000,RB_RB.A34_1647880218160000000
11,RB.A45,2kA flat top,20220324-172052.620,2022-03-24 17:20:52.620000,RB,1648138852620000000,RB_RB.A45_1648138852620000000
12,RB.A56,2kA flat top,20220325-133158.060,2022-03-25 13:31:58.060000,RB,1648211518060000000,RB_RB.A56_1648211518060000000
13,RB.A67,2kA flat top,20220310-104434.420,2022-03-10 10:44:34.420000,RB,1646905474420000000,RB_RB.A67_1646905474420000000
14,RB.A78,2kA flat top,20220310-104452.800,2022-03-10 10:44:52.800000,RB,1646905492800000000,RB_RB.A78_1646905492800000000
15,RB.A81,2kA flat top,20220324-142253.660,2022-03-24 14:22:53.660000,RB,1648128173660000000,RB_RB.A81_1648128173660000000
16,RB.A12,5kA@10A/s,20220317-173754.160,2022-03-17 17:37:54.160000,RB,1647535074160000000,RB_RB.A12_1647535074160000000
17,RB.A23,5kA@10A/s,20220420-154328.720,2022-04-20 15:43:28.720000,RB,1650462208720000000,RB_RB.A23_1650462208720000000
18,RB.A34,5kA@10A/s,20220317-173859.020,2022-03-17 17:38:59.020000,RB,1647535139020000000,RB_RB.A34_1647535139020000000
19,RB.A45,5kA@10A/s,20220317-173955.340,2022-03-17 17:39:55.340000,RB,1647535195340000000,RB_RB.A45_1647535195340000000
20,RB.A56,5kA@10A/s,20220317-174047.920,2022-03-17 17:40:47.920000,RB,1647535247920000000,RB_RB.A56_1647535247920000000
21,RB.A67,5kA@10A/s,20220310-112544.240,2022-03-10 11:25:44.240000,RB,1646907944240000000,RB_RB.A67_1646907944240000000
22,RB.A78,5kA@10A/s,20220310-125030.720,2022-03-10 12:50:30.720000,RB,1646913030720000000,RB_RB.A78_1646913030720000000
23,RB.A81,5kA@10A/s,20220324-171155.840,2022-03-24 17:11:55.840000,RB,1648138315840000000,RB_RB.A81_1648138315840000000
24,RB.A12,5kA flat top,20220318-180302.900,2022-03-18 18:03:02.900000,RB,1647622982900000000,RB_RB.A12_1647622982900000000
