Circuit,Crate,U_DIODE_RB,#Diode_circuit
RB.A12,B8L2,MB.A8L2,1
RB.A12,B10L2,MB.A9L2,2
RB.A12,B10L2,MB.A10L2,3
RB.A12,B10L2,MB.A11L2,4
RB.A12,B12L2,MB.A12L2,5
RB.A12,B12L2,MB.C12L2,6
RB.A12,B12L2,MB.B13L2,7
RB.A12,B14L2,MB.A14L2,8
RB.A12,B14L2,MB.C14L2,9
RB.A12,B14L2,MB.B15L2,10
RB.A12,B16L2,MB.A16L2,11
RB.A12,B16L2,MB.C16L2,12
RB.A12,B16L2,MB.B17L2,13
RB.A12,B18L2,MB.A18L2,14
RB.A12,B18L2,MB.C18L2,15
RB.A12,B18L2,MB.B19L2,16
RB.A12,B20L2,MB.A20L2,17
RB.A12,B20L2,MB.C20L2,18
RB.A12,B20L2,MB.B21L2,19
RB.A12,B22L2,MB.A22L2,20
RB.A12,B22L2,MB.C22L2,21
RB.A12,B22L2,MB.B23L2,22
RB.A12,B24L2,MB.A24L2,23
RB.A12,B24L2,MB.C24L2,24
RB.A12,B24L2,MB.B25L2,25
RB.A12,B26L2,MB.A26L2,26
RB.A12,B26L2,MB.C26L2,27
RB.A12,B26L2,MB.B27L2,28
RB.A12,B28L2,MB.A28L2,29
RB.A12,B28L2,MB.C28L2,30
RB.A12,B28L2,MB.B29L2,31
RB.A12,B30L2,MB.A30L2,32
RB.A12,B30L2,MB.C30L2,33
RB.A12,B30L2,MB.B31L2,34
RB.A12,B32L2,MB.A32L2,35
RB.A12,B32L2,MB.C32L2,36
RB.A12,B32L2,MB.B33L2,37
RB.A12,B34L2,MB.A34L2,38
RB.A12,B34L2,MB.C34L2,39
RB.A12,B34L2,MB.B34R1,40
RB.A12,B33R1,MB.C33R1,41
RB.A12,B33R1,MB.A33R1,42
RB.A12,B33R1,MB.B32R1,43
RB.A12,B31R1,MB.C31R1,44
RB.A12,B31R1,MB.A31R1,45
RB.A12,B31R1,MB.B30R1,46
RB.A12,B29R1,MB.C29R1,47
RB.A12,B29R1,MB.A29R1,48
RB.A12,B29R1,MB.B28R1,49
RB.A12,B27R1,MB.C27R1,50
RB.A12,B27R1,MB.A27R1,51
RB.A12,B27R1,MB.B26R1,52
RB.A12,B25R1,MB.C25R1,53
RB.A12,B25R1,MB.A25R1,54
RB.A12,B25R1,MB.B24R1,55
RB.A12,B23R1,MB.C23R1,56
RB.A12,B23R1,MB.A23R1,57
RB.A12,B23R1,MB.B22R1,58
RB.A12,B21R1,MB.C21R1,59
RB.A12,B21R1,MB.A21R1,60
RB.A12,B21R1,MB.B20R1,61
RB.A12,B19R1,MB.C19R1,62
RB.A12,B19R1,MB.A19R1,63
RB.A12,B19R1,MB.B18R1,64
RB.A12,B17R1,MB.C17R1,65
RB.A12,B17R1,MB.A17R1,66
RB.A12,B17R1,MB.B16R1,67
RB.A12,B15R1,MB.C15R1,68
RB.A12,B15R1,MB.A15R1,69
RB.A12,B15R1,MB.B14R1,70
RB.A12,B13R1,MB.C13R1,71
RB.A12,B13R1,MB.A13R1,72
RB.A12,B13R1,MB.B12R1,73
RB.A12,B11R1,MB.B11R1,74
RB.A12,B11R1,MB.B10R1,75
RB.A12,B11R1,MB.B9R1,76
RB.A12,B9R1,MB.B8R1,77
RB.A12,B8R1,MB.A8R1,78
RB.A12,B10R1,MB.A9R1,79
RB.A12,B10R1,MB.A10R1,80
RB.A12,B10R1,MB.A11R1,81
RB.A12,B12R1,MB.A12R1,82
RB.A12,B12R1,MB.C12R1,83
RB.A12,B12R1,MB.B13R1,84
RB.A12,B14R1,MB.A14R1,85
RB.A12,B14R1,MB.C14R1,86
RB.A12,B14R1,MB.B15R1,87
RB.A12,B16R1,MB.A16R1,88
RB.A12,B16R1,MB.C16R1,89
RB.A12,B16R1,MB.B17R1,90
RB.A12,B18R1,MB.A18R1,91
RB.A12,B18R1,MB.C18R1,92
RB.A12,B18R1,MB.B19R1,93
RB.A12,B20R1,MB.A20R1,94
RB.A12,B20R1,MB.C20R1,95
RB.A12,B20R1,MB.B21R1,96
RB.A12,B22R1,MB.A22R1,97
RB.A12,B22R1,MB.C22R1,98
RB.A12,B22R1,MB.B23R1,99
RB.A12,B24R1,MB.A24R1,100
RB.A12,B24R1,MB.C24R1,101
RB.A12,B24R1,MB.B25R1,102
RB.A12,B26R1,MB.A26R1,103
RB.A12,B26R1,MB.C26R1,104
RB.A12,B26R1,MB.B27R1,105
