n_components,beta_loss,f_window,weights_corrcoefT_ideal_0,weights_cosine_dist_ideal_1,weights_cosine_dist2_ideal_1,weights_eu_dist_ideal_1,weights_corr_dist_ideal_1,weights_KL_dist_ideal_1,comp_corrcoefT_ideal_0,comp_cosine_dist_ideal_1,comp_cosine_dist2_ideal_1,comp_eu_dist_ideal_1,comp_corr_dist_ideal_1,comp_KL_dist_ideal_1,weights_norm_corrcoefT_ideal_0,weights_norm_cosine_dist_ideal_1,weights_norm_cosine_dist2_ideal_1,weights_norm_eu_dist_ideal_1,weights_norm_corr_dist_ideal_1,weights_norm_KL_dist_ideal_1,comp_norm_corrcoefT_ideal_0,comp_norm_cosine_dist_ideal_1,comp_norm_cosine_dist2_ideal_1,comp_norm_eu_dist_ideal_1,comp_norm_corr_dist_ideal_1,comp_norm_KL_dist_ideal_1
2.0,frobenius,ones,0.22342501455492603,0.11667700453008958,0.1253711176991021,0.0036002010152798645,0.8315376127734146,inf,0.14783919597989945,0.055306325182949624,0.055306325182949624,0.13143974496208444,0.8521608040201005,0.09920738269441765,0.22342501455492603,0.12382259187021927,0.12375590589954756,0.4295565686817794,0.8338706940437808,inf,0.14783919597989945,0.055306325182949576,0.05530632518294956,0.24423294464240358,0.8521608040201005,0.0992073826944174
2.0,frobenius,hanning,0.24421930604149944,0.17593865626666114,0.16208100280501328,0.003876207308364381,0.9973118279569892,inf,0.48743718592964824,0.06065266257892387,0.06065266257892387,0.13276973748608317,0.5125628140703518,0.11143669561766403,0.24421930604149944,0.15941547154128702,0.16267142786999295,0.510780013755482,0.9998609577556946,inf,0.48743718592964824,0.06065266257892383,0.060652662578923815,0.2546630197772172,0.5125628140703518,0.11143669561766417
2.0,frobenius,bartlett,0.24502746842798828,0.1577948047666325,0.16287121615691386,0.0037661581385718063,0.9930551048224833,inf,0.47346733668341706,0.06013988025197889,0.06013988025197886,0.1291123383560136,0.5265326633165829,0.11076045929482858,0.24502746842798828,0.15417002599113383,0.16711144611866477,0.47724507554979523,0.9954133757223519,inf,0.47346733668341706,0.06013988025197884,0.06013988025197882,0.25459450625311786,0.5265326633165829,0.11076045929482815
2.0,frobenius,blackman,0.2407197554903484,0.17507377252156528,0.17693784856223277,0.0040376745163530235,0.9906211462322321,inf,0.5305527638190954,0.061972584333767844,0.06197258433376786,0.14016729530236868,0.4694472361809045,0.11325245286263526,0.2407197554903484,0.16829977347290234,0.18034592528820756,0.48117030453151605,0.9954586888503831,inf,0.5305527638190954,0.06197258433376781,0.06197258433376779,0.2524373061934181,0.4694472361809045,0.11325245286263494
2.0,frobenius,flattop,0.22659835434072184,0.18992144383839465,0.2026844364862999,0.006121973437228061,0.9625677056925095,inf,0.755678391959799,0.06462721030000002,0.06462721030000003,0.18719111288766235,0.244321608040201,0.11851009681485451,0.22659835434072184,0.20269366933774008,0.18519473057205324,0.5103595345268582,0.9900551034318515,inf,0.755678391959799,0.06462721029999997,0.06462721029999996,0.24383544546467986,0.244321608040201,0.11851009681485505
2.0,frobenius,hamming,0.24399649734737436,0.15297365956679249,0.15478576153401513,0.0028366953624057037,1.0002208317997792,inf,0.3813065326633165,0.060254918145862334,0.06025491814586232,0.1289055273500705,0.6186934673366834,0.11100851958926908,0.24399649734737436,0.15494223220160416,0.16203379018712494,0.4765331600206876,0.991309223437062,inf,0.3813065326633165,0.060254918145862285,0.06025491814586228,0.25744886711028353,0.6186934673366834,0.1110085195892691
2.0,frobenius,tukey,0.2547495292295044,0.14690832832487682,0.15174618474018808,0.0030018035378947946,0.9651167545904388,inf,0.1984924623115578,0.058467532227764345,0.058467532227764345,0.12720615879921232,0.8015075376884422,0.10889389358980177,0.2547495292295044,0.14458996007054928,0.1532111338711058,0.45998723663914365,0.9859154929577465,inf,0.1984924623115578,0.058467532227764296,0.058467532227764275,0.2569539693097621,0.8015075376884422,0.10889389358980195
3.0,frobenius,ones,0.31787898031631223,0.17970992127982957,0.18440108390753907,0.00504782875261777,0.7214042501833157,inf,0.7070770662817374,0.10096341047809507,0.10096341047809504,0.16175128058691188,0.29292293371826267,0.14891861498720485,0.31787898031631223,0.19975620906664374,0.1930179993310093,0.5736525194407084,0.6261520922544732,inf,0.7070770662817374,0.10096341047809503,0.10096341047809498,0.32066126219104296,0.29292293371826267,0.14891861498720482
3.0,frobenius,hanning,0.25523170710645277,0.23618202331066307,0.24886091578285024,0.004517944931189252,0.9750015350709772,inf,0.7827587836578511,0.11657590839965784,0.11657590839965784,0.17298736787309427,0.21724121634214885,0.1918567141969938,0.25523170710645277,0.23715914900417037,0.2309027223999636,0.6337819974681987,0.9810458379033998,inf,0.7827587836578511,0.11657590839965784,0.11657590839965776,0.3197028561026214,0.21724121634214882,0.1918567141969938
3.0,frobenius,bartlett,0.25049717423791246,0.23503467521222943,0.23821012901348063,0.00495220563673057,0.9892698954218835,inf,0.7726156355767066,0.11872749569658038,0.11872749569658038,0.16768279493026192,0.22738436442329332,0.19075290297466743,0.25049717423791246,0.23588975896562295,0.23434482213857682,0.6423672506880781,0.9840971593264632,inf,0.7726156355767066,0.11872749569658035,0.11872749569658028,0.3273901603171187,0.22738436442329332,0.1907529029746676
3.0,frobenius,blackman,0.25719784435110987,0.2391358698657006,0.22957069803294608,0.0037313168441352974,0.9295195109883604,inf,0.7915064076907465,0.11678682274708295,0.11678682274708298,0.17880960623682335,0.2084935923092535,0.20009560614386515,0.25719784435110987,0.2466590163906827,0.25119232136463987,0.6362549470848384,0.9457512373168054,inf,0.7915064076907465,0.11678682274708295,0.11678682274708291,0.3117439522528785,0.2084935923092535,0.20009560614386518
3.0,frobenius,flattop,0.24566356704585837,0.26022600888377667,0.260821723692917,0.005231654473438019,0.8949915506192936,inf,0.7759834881874511,0.13193614328200742,0.13193614328200742,0.22621823725016957,0.224016511812549,0.21935590935188126,0.24566356704585837,0.2565749449779157,0.26076538576695935,0.674409734380677,0.9127205812670963,inf,0.7759834881874511,0.13193614328200742,0.13193614328200737,0.3180795809792785,0.22401651181254892,0.21935590935188373
3.0,frobenius,hamming,0.25418075558239817,0.22792081155507482,0.24094208044305215,0.004835035131895679,0.9928124443115722,inf,0.7774788885240761,0.1156157398506865,0.1156157398506865,0.16796739669939786,0.222521111475924,0.1848059473813725,0.25418075558239817,0.23177845282944148,0.2355511186068186,0.6280296075403923,0.9962064799497145,inf,0.7774788885240761,0.11561573985068653,0.11561573985068645,0.3206216351653393,0.222521111475924,0.18480594738137246
3.0,frobenius,tukey,0.24445132182776486,0.2313727384040101,0.23539634341746526,0.004568225761155576,0.9534354495472119,inf,0.7130423725091831,0.12901695876545322,0.12901695876545322,0.16773285062726448,0.28695762749081694,0.19182757364566838,0.24445132182776486,0.24332420427973597,0.22618801635899619,0.6366567974409034,0.9710032301487537,inf,0.7130423725091831,0.12901695876545322,0.12901695876545316,0.36646268847114716,0.28695762749081694,0.19182757364566838
4.0,frobenius,ones,0.3132480113733915,0.23001416865226967,0.2307794421584052,0.004302554327285926,0.637907759705758,inf,0.7441852114762058,0.12781905318774273,0.12781905318774273,0.17896460590884913,0.2558147885237942,0.19669094715104693,0.3132480113733915,0.23209470751457045,0.22665392305908075,0.6275989603990171,0.6354304253916031,inf,0.7441852114762058,0.1278190531877427,0.12781905318774267,0.367695978041971,0.2558147885237942,0.19669094715104687
4.0,frobenius,hanning,0.2585132626329239,0.30301126364291203,0.32474889022040665,0.004334162809808643,0.8661993946228425,inf,0.7468192023380343,0.17189750443028196,0.17189750443028196,0.18974349005612756,0.2531807976619656,0.2833465447474258,0.2585132626329239,0.3061405825000166,0.3011309465457659,0.7400839945525115,0.8885658360379589,inf,0.7468192023380343,0.1718975044302819,0.17189750443028187,0.39364621932794325,0.2531807976619656,0.28334654474742577
4.0,frobenius,bartlett,0.2520444665460401,0.30080943830630924,0.30709738069339065,0.004172075720208729,0.8639483954893673,inf,0.7519734113324471,0.16437814309441368,0.16437814309441368,0.18215981909955428,0.2480265886675528,0.2618306627485869,0.2520444665460401,0.30414482435486995,0.31846921552747504,0.7535604516995633,0.8820502265269402,inf,0.7519734113324471,0.16437814309441362,0.1643781430944136,0.38897091713150156,0.2480265886675528,0.2618306627485869
4.0,frobenius,blackman,0.258936999992694,0.28302409051556243,0.2948436454420765,0.005284850882897073,0.8270414577670434,inf,0.7289382830443801,0.18554842018149487,0.18554842018149487,0.1963082042535009,0.27106171695561987,0.2899112863500262,0.258936999992694,0.29371792725897233,0.30073699735048043,0.7052406315372748,0.8618273017838844,inf,0.7289382830443801,0.18554842018149478,0.18554842018149478,0.4081597661034726,0.27106171695561987,0.2898821495404682
4.0,frobenius,flattop,0.2464324996684131,0.27592276344599587,0.29119760810991596,0.0043368543808183545,0.7361222474389,inf,0.692699644637319,0.20975422832955784,0.20975422832955787,0.24406555631373347,0.30730035536268097,0.30364410389928564,0.2464324996684131,0.2853795684503323,0.2836968132985538,0.7156395279954233,0.7737651616792472,inf,0.692699644637319,0.20975422832955778,0.20975422832955778,0.4351237740770411,0.30730035536268097,0.3026065260652813
4.0,frobenius,hamming,0.256603592431023,0.3205789566051874,0.31281386527737304,0.004290997591844239,0.8685342008392158,inf,0.7559145781247442,0.160623282106863,0.160623282106863,0.18495463596831632,0.24408542187525584,0.25158764506682846,0.256603592431023,0.29048365561343775,0.3212179055742257,0.7345996311634291,0.851053238308266,inf,0.7559145781247442,0.16062328210686297,0.1606232821068629,0.38352136482845034,0.24408542187525584,0.2515876450668285
4.0,frobenius,tukey,0.24850122136072703,0.29890435938980014,0.301647516424309,0.004303139900114806,0.808294685877301,inf,0.7494699522864421,0.16545512130596496,0.16545512130596496,0.17440534301121832,0.25053004771355786,0.2784756555220302,0.24850122136072703,0.31062889742827887,0.2984381923341989,0.7155952970579543,0.7841719479112566,inf,0.7494699522864421,0.16545512130596493,0.1654551213059649,0.3912402563083173,0.25053004771355786,0.2784756555220302
5.0,frobenius,ones,0.3476294808906227,0.2335444838653737,0.2452810887659304,0.004322587323284974,0.6077260027922601,inf,0.7455264981682261,0.13390301602765817,0.1339030160276582,0.19239721520319286,0.2544735018317738,0.20577938778951793,0.3476294808906227,0.2465437206359717,0.24474837505155608,0.634540703931524,0.6206723256738267,inf,0.7455264981682261,0.1339030160276582,0.13390301602765814,0.38399640307116256,0.2544735018317738,0.20577938778951793
