,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,dstd_score
376,RB,RB.A34,1.61837857228e+18,A33L4,2,3.7850292650311896
1503,RB,RB.A12,1.62178168396e+18,A29L2,1,2.6035521552096403
101,RB,RB.A78,1.6169621744e+18,B28L8,0,2.4398447100344094
478,RB,RB.A78,1.61872313086e+18,A12L8,3,2.2697619977591454
773,RB,RB.A34,1.61959158688e+18,C17R3,3,2.011232501239489
1650,RB,RB.A12,1.62213962138e+18,B8L2,2,1.9631569430431302
1721,RB,RB.A56,1.62237607618e+18,A14R5,2,1.859003975783491
772,RB,RB.A34,1.61959158688e+18,A15R3,2,1.855127483318907
15,RB,RB.A78,1.61536340226e+18,C26L8,1,1.8226716865173738
2679,RB,RB.A78,1.63600648614e+18,A16L8,1,1.8116511359681706
404,RB,RB.A34,1.61846631782e+18,C29L4,1,1.7722188457757377
2550,RB,RB.A81,1.62921374652e+18,A16L1,0,1.747118155964307
751,RB,RB.A34,1.61955333928e+18,C29L4,1,1.7211006335736885
240,RB,RB.A34,1.61763714008e+18,C20L4,1,1.7087562795562066
1225,RB,RB.A45,1.62100142284e+18,C14R4,3,1.7078464402988076
2577,RB,RB.A67,1.6293191263e+18,A10R6,0,1.6902548553507597
1692,RB,RB.A12,1.6223076562e+18,A21L2,0,1.6685020845860343
1482,RB,RB.A12,1.62175033342e+18,B13R1,0,1.6433569718003525
1693,RB,RB.A12,1.6223076562e+18,C21L2,1,1.6392780758306567
2190,RB,RB.A56,1.62712105436e+18,A11L6,0,1.6099127288287842
1907,RB,RB.A56,1.62356187888e+18,C17R5,2,1.597528310259466
2573,RB,RB.A81,1.62931393022e+18,B24R8,0,1.594933006510067
1833,RB,RB.A45,1.62278312e+18,A23R4,2,1.5772735079739368
2280,RB,RB.A81,1.62782247472e+18,A19L1,2,1.5665016376838534
1448,RB,RB.A45,1.621619992e+18,B21R4,0,1.5610995465345725
129,RB,RB.A34,1.61712046534e+18,B21L4,0,1.5567388548393706
174,RB,RB.A34,1.61742629114e+18,A18L4,3,1.5534111309333116
1252,RB,RB.A45,1.62106058546e+18,A10R4,2,1.551650201941479
2530,RB,RB.A67,1.62910909234e+18,C29L7,1,1.5497726538936794
295,RB,RB.A34,1.61794560808e+18,A22L4,1,1.5443149814324846
377,RB,RB.A34,1.61837857228e+18,C33L4,3,1.5372516703561876
701,RB,RB.A12,1.61941717104e+18,A8L2,2,1.536315239126453
2219,RB,RB.A67,1.6274010189e+18,A11R6,1,1.5301521546101005
1178,RB,RB.A45,1.62088877406e+18,B22R4,2,1.529113435751243
2536,RB,RB.A81,1.62913772642e+18,A11L1,0,1.5227292478928989
1930,RB,RB.A56,1.62377971434e+18,B20L6,0,1.5198816934239834
1577,RB,RB.A45,1.62196047906e+18,B13R4,0,1.5188434038121272
993,RB,RB.A45,1.62032671274e+18,B9L5,6,1.5064564100060827
884,RB,RB.A45,1.6199331781e+18,A8R4,2,1.503630443706116
1398,RB,RB.A56,1.62152852234e+18,B17L6,0,1.4988765287053887
113,RB,RB.A34,1.61703533608e+18,A8L4,0,1.4938742831626632
1387,RB,RB.A12,1.6214922372e+18,C21L2,1,1.486749545563587
1745,RB,RB.A45,1.62243987524e+18,B18R4,2,1.4805903806224592
634,RB,RB.A12,1.61924435844e+18,B25L2,0,1.471506506285689
1177,RB,RB.A45,1.62088877406e+18,B25R4,1,1.464893605372613
1568,RB,RB.A23,1.62193946054e+18,B16R2,0,1.4527246265533174
1682,RB,RB.A12,1.6222710066e+18,A17L2,1,1.4526232305669156
1970,RB,RB.A56,1.62417411978e+18,C18L6,1,1.4481713765853375
2678,RB,RB.A78,1.63600648614e+18,C16L8,0,1.446605538698291
1681,RB,RB.A12,1.6222710066e+18,C17L2,0,1.44237374984002
1226,RB,RB.A45,1.62100142284e+18,A18R4,4,1.4367588479794529
1835,RB,RB.A45,1.62278312e+18,A22R4,4,1.4367371200309527
234,RB,RB.A78,1.6176344745e+18,C18L8,1,1.432687313936373
1724,RB,RB.A56,1.62237607618e+18,C13R5,5,1.4299231948268067
673,RB,RB.A12,1.61934912554e+18,A27L2,1,1.4272409723091486
1539,RB,RB.A56,1.62186975046e+18,A19L6,4,1.4229146470438538
2760,RB,RB.A78,1.63652782126e+18,C26L8,1,1.4204017211579472
1202,RB,RB.A45,1.62092997424e+18,B12R4,0,1.4197273568816593
965,RB,RB.A45,1.6202328738e+18,B32R4,5,1.4174125537069795
1868,RB,RB.A45,1.62297322878e+18,C26L5,1,1.4162424997881509
1072,RB,RB.A45,1.62062626156e+18,B21R4,0,1.415801509566635
1050,RB,RB.A12,1.62054776732e+18,B25R1,0,1.412035040030132
1228,RB,RB.A45,1.62100142284e+18,B28R4,6,1.4118310408866996
2766,RB,RB.A78,1.63656954476e+18,A25L8,1,1.410014596555918
133,RB,RB.A78,1.61712345812e+18,B24L8,0,1.3995043674498424
14,RB,RB.A78,1.61536340226e+18,A26L8,0,1.3951867477340782
1631,RB,RB.A12,1.62209236754e+18,C28R1,1,1.3949561170712124
460,RB,RB.A78,1.61867458034e+18,A27L8,1,1.3945609804531578
11,RB,RB.A78,1.61530866352e+18,B16L8,0,1.3926867325479484
2166,RB,RB.A67,1.62701809652e+18,A29R6,1,1.3912505603563448
2407,RB,RB.A81,1.62841741142e+18,C24R8,1,1.3903476764486808
583,RB,RB.A34,1.6191067008e+18,B16L4,0,1.3846040197014746
589,RB,RB.A45,1.61912232768e+18,A20L5,1,1.382231851606602
1884,RB,RB.A56,1.62318265332e+18,A27L6,1,1.3814347316782303
1947,RB,RB.A56,1.62390670112e+18,B15L6,2,1.3774198843147853
2187,RB,RB.A81,1.62710651044e+18,A21R8,1,1.3746283344695647
1651,RB,RB.A12,1.62213962138e+18,B26L2,3,1.3701250690256395
423,RB,RB.A34,1.61851575466e+18,C24L4,2,1.3670069559062648
479,RB,RB.A78,1.61872313086e+18,B22L8,4,1.3669467049200332
1654,RB,RB.A12,1.62213962138e+18,C27L2,6,1.3656192377271785
796,RB,RB.A12,1.61967443502e+18,B13R1,3,1.3648950707537912
2151,RB,RB.A67,1.62689081644e+18,C20R6,2,1.363847985732741
626,RB,RB.A78,1.61920314364e+18,A20L8,1,1.3626282704294883
939,RB,RB.A12,1.62015257278e+18,A21L2,1,1.3583376189238943
1536,RB,RB.A56,1.62186975046e+18,C12L6,1,1.355490478259487
1059,RB,RB.A45,1.62058396564e+18,C27R4,1,1.3541154101191495
1966,RB,RB.A56,1.62411529266e+18,B27L6,0,1.3519588883814417
1720,RB,RB.A56,1.62237607618e+18,B14R5,1,1.3486403703064385
1832,RB,RB.A45,1.62278312e+18,B22R4,1,1.345533788376447
364,RB,RB.A34,1.61832775692e+18,B22L4,6,1.3448201550405663
271,RB,RB.A78,1.61782475378e+18,C22L8,1,1.3418431070098147
1676,RB,RB.A12,1.62223388466e+18,B31L2,0,1.337706994239556
2012,RB,RB.A56,1.62464014688e+18,A19R5,1,1.336339623439291
184,RB,RB.A78,1.6174310013e+18,A13L8,4,1.3272870309540086
276,RB,RB.A78,1.6178593291e+18,B26L8,0,1.3221600212053772
439,RB,RB.A78,1.6185765411e+18,B26R7,3,1.3174723125748367
1708,RB,RB.A12,1.62235257364e+18,C15L2,4,1.3142624839703092
1746,RB,RB.A45,1.62243987524e+18,C18R4,3,1.312027540956386
1224,RB,RB.A45,1.62100142284e+18,A14R4,2,1.3118594878796428
1958,RB,RB.A56,1.62399388864e+18,B21R5,0,1.3084936974414725
1227,RB,RB.A45,1.62100142284e+18,C18R4,5,1.306112769856531
2634,RB,RB.A67,1.62982224942e+18,C24L7,1,1.30598620436136
223,RB,RB.A78,1.61760083144e+18,C20L8,2,1.3045653789269833
2167,RB,RB.A67,1.62701809652e+18,C29R6,2,1.3045137497278156
1110,RB,RB.A12,1.62074324106e+18,C24L2,1,1.3031658131119999
2215,RB,RB.A81,1.62736279874e+18,B33R8,2,1.3018455798549708
2176,RB,RB.A81,1.62706595008e+18,C12R8,1,1.3016951214057588
545,RB,RB.A45,1.61902296936e+18,C18R4,1,1.2984747452666427
2765,RB,RB.A78,1.63656954476e+18,C25L8,0,1.297913119000909
2186,RB,RB.A81,1.62710651044e+18,C21R8,0,1.2947363294467258
107,RB,RB.A34,1.61696569436e+18,C28L4,1,1.2944323523995478
625,RB,RB.A78,1.61920314364e+18,C20L8,0,1.2929666464225589
892,RB,RB.A12,1.61997161708e+18,C26L2,2,1.292834330624411
1251,RB,RB.A45,1.62106058546e+18,B14L5,1,1.2907809694100418
865,RB,RB.A45,1.61988595236e+18,C30R4,3,1.2893325229685295
1719,RB,RB.A56,1.62237607618e+18,C15R5,0,1.2892069132186041
715,RB,RB.A12,1.61946208882e+18,B32L2,0,1.2880543424746578
2290,RB,RB.A81,1.62792132294e+18,B32L1,0,1.2869415023419792
1740,RB,RB.A56,1.62243799468e+18,A23L6,1,1.2830728589195621
413,RB,RB.A78,1.61850316942e+18,B33R7,3,1.2799012708206985
975,RB,RB.A34,1.6202810277e+18,B17L4,0,1.2783683625503537
1505,RB,RB.A12,1.62178168396e+18,A28L2,3,1.2779071737612004
818,RB,RB.A45,1.61976069938e+18,C22R4,1,1.2770022364090807
695,RB,RB.A34,1.61941563796e+18,A8R3,2,1.276302949945213
2221,RB,RB.A67,1.6274010189e+18,A23R6,3,1.2743023867666203
2237,RB,RB.A81,1.62757155854e+18,B30R8,0,1.2678230005591051
154,RB,RB.A78,1.61729791084e+18,A30L8,1,1.267753016156417
1378,RB,RB.A56,1.62148708604e+18,B17L6,0,1.2666330341411527
2417,RB,RB.A81,1.62848620968e+18,A22R8,1,1.266584463641913
1940,RB,RB.A56,1.62386509832e+18,B12L6,0,1.2664187040059556
399,RB,RB.A78,1.61846389218e+18,C13L8,2,1.2658229392657834
2582,RB,RB.A67,1.62936021374e+18,B19R6,0,1.2651520724795606
268,RB,RB.A78,1.61777556238e+18,C16L8,2,1.2637780712110067
1653,RB,RB.A12,1.62213962138e+18,A26L2,5,1.2618478452212196
2470,RB,RB.A67,1.62874502474e+18,C24L7,1,1.261374280569228
977,RB,RB.A34,1.6202810277e+18,A18L4,2,1.2609957845504054
646,RB,RB.A34,1.61926787604e+18,B13R3,0,1.259513056633393
875,RB,RB.A12,1.61989761654e+18,B22L2,1,1.2590047892438647
1063,RB,RB.A23,1.62058626384e+18,B12L3,0,1.258284528570092
354,RB,RB.A78,1.61824728402e+18,B19L8,0,1.258110992114307
956,RB,RB.A34,1.62022817782e+18,B19L4,0,1.257383883089411
2656,RB,RB.A81,1.62999549358e+18,C17R8,0,1.256265592955503
1383,RB,RB.A45,1.62148952506e+18,C26R4,1,1.2535821569263463
300,RB,RB.A34,1.61798392018e+18,A12R3,1,1.2533434696483086
482,RB,RB.A78,1.61872313086e+18,A13L8,7,1.2528344026321532
2791,RB,RB.A78,1.63695651414e+18,B15L8,0,1.251093553793752
2311,RB,RB.A81,1.6280546851e+18,C32R8,0,1.247990248508185
1484,RB,RB.A12,1.62175033342e+18,C12R1,2,1.2459230135962451
877,RB,RB.A12,1.61989761654e+18,A22L2,3,1.2424672241473866
1214,RB,RB.A23,1.62097253728e+18,A27L3,1,1.2419608924312895
2620,RB,RB.A67,1.629700689e+18,C25L7,1,1.2409664195432235
758,RB,RB.A12,1.61958689268e+18,A33R1,1,1.2407735605424732
812,RB,RB.A12,1.61973014052e+18,B27L2,0,1.2388671774322364
1301,RB,RB.A12,1.6211899921e+18,C33L2,4,1.2369586146383174
655,RB,RB.A34,1.61929041872e+18,C26L4,1,1.2349478368681037
1605,RB,RB.A12,1.62200561238e+18,A20R1,1,1.234421614497245
1931,RB,RB.A56,1.62377971434e+18,A21L6,1,1.2338108188312713
