,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,start_time,min_time,max_time,min_amplitude,max_amplitude,dU_max,dU_min,dstd_max,dstd_mean,el_peak12_ratio,n_other_quenches,dstd_score_pos_15,dstd_score_elpos_15,dstd_score_pos_15_exp,dstd_score_elpos_15_exp,dstd_score_pos_15_tuk,dstd_score_elpos_15_tuk,wiggle_magnets,wiggle_area_pos,wiggle_area_elpos
3,RB,RB.A12,1.41848467056e+18,B27R1,0.0,43.821,0.09799999999999898,1.8860000000000028,0.031043432260814185,0.015856905987388537,0.03458738327026367,-0.07249164581298828,0.019732499523504383,0.014923464473432829,1.028092607614541,0.0,1.0746542434529054,1.0591312773505295,1.065442790113315,0.9846421118199328,1.0834740023605443,1.0511076676576978,0.0,12.0,11.0
4,RB,RB.A12,1.41848467056e+18,C27R1,1.0,88.105,0.11499999999999488,1.7999999999999972,0.017941531756066276,0.02608409306860926,0.03553485870361328,-0.06633186340332031,0.018223905174374083,0.01466218319177501,1.017591305728157,0.0,1.0146655355586403,0.996086733541349,1.0041142075764673,1.008032822067302,1.0051958753790424,1.0092963291997545,0.0,52.0,22.0
5,RB,RB.A12,1.41848467056e+18,C26R1,2.0,152.906,0.19999999999998863,1.1129999999999995,0.01115316549936951,0.026011613210042306,0.0369565486907959,-0.05211782455444336,0.013562991122245849,0.009882956272662896,1.0324424122702258,0.0,1.0055261259143384,0.9534065427371652,1.0190097392957496,0.894357001727361,0.9912500692827263,0.9413922638559802,7.0,50.0,8.0
7,RB,RB.A12,1.41853881428e+18,B29R1,0.0,70.999,1.183000000000007,1.1000000000000085,0.05239725428701281,0.06361448527961411,0.06964874267578125,-0.08860063552856445,0.033902090895486875,0.022657743165612334,1.005825641733281,1.0,0.9217363295814544,1.1734684945527771,0.9150155814323712,1.3122892520315788,0.9171222565683458,1.2299047435554662,12.0,8.0,18.0
8,RB,RB.A12,1.41853881428e+18,A30R1,1.0,71.999,0.18300000000000693,1.88600000000001,0.05239725428701281,0.02552228573931803,0.06964874267578125,-0.08860063552856445,0.026840999189094623,0.016797265557772053,1.0081468548164445,0.0,0.9229432107187341,1.215763760017764,0.8933343472251978,1.3750657663855659,0.907880321561416,1.260213763056568,7.0,8.0,19.0
9,RB,RB.A12,1.41853881428e+18,B30R1,2.0,109.7,0.18500000000000227,1.8999999999999915,0.021681014696757206,0.010985835393269916,0.030323266983032227,-0.07580804824829102,0.019497510374263564,0.013152283414775362,1.100354063774896,0.0,0.9713904616376658,1.1487519162527777,0.9907773837429146,1.2253046771848415,0.9691629396974082,1.162508569649949,4.0,10.0,14.0
10,RB,RB.A12,1.41853881428e+18,C30R1,3.0,355.3,0.6990000000000123,0.08299999999996999,0.01823336506049905,0.027970100609248094,0.027006596326828003,-0.026532799005508423,0.008959442575516906,0.001469258507159601,1.1448039550532352,0.0,0.9401543701686156,0.9863704756396167,1.0232034403009862,0.955896271757733,1.009058345957325,0.9829672983227624,6.0,10.0,19.0
12,RB,RB.A12,1.41856085386e+18,B27R1,0.0,42.321,0.0,1.7820000000000036,0.07568933461841798,0.022596105148918078,0.05401277542114258,-0.05922508239746094,0.016038777568510375,0.008962297258346168,1.0471681467662486,0.0,1.1852878855160722,1.077023754796713,1.0942562424007611,1.4254579639622609,1.1532577372700057,1.194826172241626,0.0,12.0,9.0
13,RB,RB.A12,1.41856085386e+18,C27R1,1.0,80.721,0.09799999999999898,1.8859999999999957,0.05290550901400337,0.01629098361691117,0.04074668884277344,-0.08670520782470703,0.023268508316343934,0.013384268519123556,1.0838728506693869,0.0,0.9173385970815735,1.1805018313726001,0.8039478635329924,1.4634936829089669,0.8826301570903934,1.2870025619973964,4.0,9.0,9.0
14,RB,RB.A12,1.41856085386e+18,C26R1,2.0,126.12,0.19999999999998863,1.899000000000001,0.011083717346191513,0.02738242308298755,0.029375791549682617,-0.052591800689697266,0.01397171303876681,0.010869617511844542,1.0190547146466153,0.0,1.04111269731408,1.0314270831247838,0.9275456154238579,1.0966698797343792,1.019573404543795,1.0413725199719186,1.0,18.0,15.0
16,RB,RB.A12,1.41859374992e+18,B31L2,0.0,30.86,0.10000000000000142,1.8860000000000028,0.06610741427070188,0.028175633204610584,0.06633186340332031,-0.11702823638916016,0.0324075106995033,0.017692677157938905,1.129637016872995,0.0,1.0928323463464038,0.8421463558973462,0.757700986745646,1.2248744772145954,0.9993246622993501,0.9757622210356985,3.0,12.0,8.0
17,RB,RB.A12,1.41859374992e+18,A31L2,1.0,57.06,0.0,1.8009999999999948,0.0607811567799148,0.01593012525545845,0.031744956970214844,-0.06396293640136719,0.01767070445068347,0.009081290453816658,1.040643444239352,0.0,1.208677709235726,1.1318354583301626,0.71038714542818,0.6100283080776683,1.0590102229282155,0.997474745668876,0.0,14.0,14.0
18,RB,RB.A12,1.41859374992e+18,C30L2,2.0,132.145,0.19999999999998863,1.600999999999999,0.01259034792582181,0.02691804726918523,0.030323266983032227,-0.06301522254943848,0.01624720446233262,0.01243065342891519,1.0331008884667259,0.0,1.0220698931055603,1.008508506203374,1.0134667145856824,0.9773067629220125,1.0094368439268897,1.0178747630246816,5.0,10.0,18.0
20,RB,RB.A12,1.4186264841e+18,C22R1,0.0,0.265,0.402,0.11599999999999999,0.2138183430621492,1.578424172071544,0.1582493782043457,-5.122725723311305,1.6138445264472887,1.485551652925351,1.0090105624006296,0.0,1.0200518847837572,1.0365742589439833,0.9990801441862373,1.059242632220956,1.0171800901795707,1.045392570587339,0.0,12.0,27.0
21,RB,RB.A12,1.4186264841e+18,A22R1,1.0,26.162,0.1039999999999992,1.904,0.031916826766059,0.024103802560970777,0.04406261444091797,-0.08765220642089844,0.024317530629182946,0.01699227220072743,1.0082274960246733,0.0,1.0052457058955713,1.0006978501393398,1.1147208527484342,1.0303656766547917,1.0279011778901685,1.0073209897987725,5.0,12.0,12.0
22,RB,RB.A12,1.4186264841e+18,A23R1,2.0,57.065,0.11400000000000432,1.8970000000000056,0.0647432994842525,0.028181626001994253,0.048801422119140625,-0.10044574737548828,0.02686683792576684,0.01501917288960484,1.0323913740392225,0.0,0.7705500567071255,1.0196090521602614,0.6869208433340477,1.3724866407110292,0.7739063514529285,1.1186628671946008,11.0,9.0,7.0
23,RB,RB.A12,1.4186264841e+18,B23R1,3.0,100.38,0.10000000000000853,1.8850000000000051,0.018799304962158203,0.026609161556167216,0.030323505401611328,-0.07533407211303711,0.019370144921687295,0.01471743882921393,1.0339557186875343,0.0,0.9359658905389664,0.9873711826416526,0.988694465438926,1.026163378521956,0.9374041466155295,1.006798429033908,9.0,10.0,11.0
24,RB,RB.A12,1.4186264841e+18,C23R1,4.0,170.266,0.40100000000001046,1.913000000000011,0.010714970730446582,0.010033074262979946,0.02037346363067627,-0.03458738327026367,0.010076184659511362,0.007262635858772209,1.0669637202786364,0.0,1.0171037403125507,0.9628817096853625,0.9856902354186577,1.0016631034657633,1.0429288398110548,0.9788169093384675,6.0,19.0,9.0
25,RB,RB.A12,1.4186264841e+18,C21R1,5.0,260.98,1.0,0.0,0.01742103107932469,0.026993681378916,0.027006566524505615,-0.03363978862762451,0.011670372110122035,0.0022848791015699244,1.1511071480833797,0.0,1.1848508781805143,1.50412279362741,1.362378424641901,1.133652734862946,1.297362624699177,1.5052458210745185,5.0,16.0,17.0
27,RB,RB.A12,1.42153181378e+18,A20L2,0.0,0.3,0.286,0.0,2.1997658045668356,2.3245625530582497,0.23595285415649414,-5.240701586008072,1.6359391579753324,1.2459120023444406,1.0273790767738666,0.0,0.955176088303088,1.0579201572022094,0.919043698194398,0.9833634438398403,0.9444711130660064,0.9976882086190839,0.0,30.0,6.0
28,RB,RB.A12,1.42153181378e+18,C20L2,1.0,22.882,0.0,1.904,0.0824255532776288,0.028233900764920605,0.07059574127197266,-0.10518360137939453,0.02763962147704084,0.011661709971070498,1.0061015572495149,0.0,0.9548078735361226,1.1529598634672928,1.5353823037201206,1.3747958774081304,1.091985840632833,1.2413787091584667,3.0,30.0,17.0
